flow_info: flow_psh, fpkts_per_second, total_bhlen, flow_iat_max, backward_packet_length_max, forward_iat_std, total_length_of_forward_packets, backward_packet_length_std, forward_iat_min, total_fhlen, total_length_of_backward_packets, total_backward_packets, forward_iat_max, forward_packet_length_mean, backward_iat_min, flow_iat_min, backward_packet_length_min, flow_syn, bpkts_per_second, flow_protocol, forward_iat_total, forward_packet_length_min, backward_iat_max, flow_iat_total, flow_urg, flow_fin, flow_ece, forward_packet_length_std, backward_packet_length_mean, flow_iat_std, flow_ack, backward_iat_total, backward_iat_mean, flow_rst, total_forward_packets, flow_packets_per_second, backward_iat_std, flow_cwr, forward_iat_mean, flow_iat_mean, forward_packet_length_max: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0, 83.0, 2241, 0.0054624080657958984, 66, 0.0, 120682, 0.0, 6.222724914550781e-05, 135, 330, 5, 0.0054624080657958984, 1454.0, 0.0013575553894042969, 6.222724914550781e-05, 66, 0, 5.0, 6, 0.27098751068115234, 1454, 0.002177000045776367, 0.2888810634613037, 0, 0, 0, 0.0, 66.0, 0.0, 88, 0.006376743316650391, 0.0, 0, 83, 88.0, 0.0, 0, 0.0, 0.0, 1454: 1: 1716505792.7, 1716505793.7: 0: 0: 0: 0: 0: 0: 0.47536688641867136: 0.1748777045271095: 0.1748777045271095: 0.17487770452710968
127.0.0.1/9020-127.0.0.2/9784: 0, 82.0, 2214, 0.005400180816650391, 66, 0.0, 119228, 0.0, 0.00014328956604003906, 108, 264, 4, 0.005400180816650391, 1454.0, 4.2438507080078125e-05, 0.00014328956604003906, 66, 0, 4.0, 6, 0.2658848762512207, 1454, 0.0008194446563720703, 0.28122615814208984, 0, 0, 0, 0.0, 66.0, 0.0, 86, 0.0009465217590332031, 0.0, 0, 82, 86.0, 0.0, 0, 0.0, 0.0, 1454: 2: 1716505792.7, 1716505793.7: 0: 0: 0: 0: 0: 0: 0.47536688641867136: 0.17487770452710946: 0.17487770452710946: 0.1748777045271096
127.0.0.1/9020-127.0.0.2/9784: 0, 163.0, 4401, 0.044310808181762695, 66, 0.02, 237018, 0.0, 4.887580871582031e-05, 108, 264, 4, 0.044310808181762695, 1454.0981595092026, 4.220008850097656e-05, 4.887580871582031e-05, 66, 0, 4.0, 6, 3.8255727291107178, 1454, 0.03965020179748535, 3.880033493041992, 0, 0, 0, 0.62, 66.0, 0.02, 167, 0.04046940803527832, 0.01, 0, 163, 167.0, 0.02, 0, 0.02, 0.02, 1458: 3: 1716505792.7, 1716505793.7: 0: 0: 0: 0: 0: 0: 0.47536688641866615: 0.1748777045271103: 0.1748777045271103: 0.17487770452711315
127.0.0.1/9020-127.0.0.2/9784: 0, 162.0, 4374, 0.044261932373046875, 66, 0.02, 235564, 0.0, 6.508827209472656e-05, 81, 198, 3, 0.044261932373046875, 1454.0987654320988, 0.0007348060607910156, 6.508827209472656e-05, 66, 0, 3.0, 6, 3.817654848098755, 1454, 0.039608001708984375, 3.868471145629883, 0, 0, 0, 0.62, 66.0, 0.02, 165, 0.04034280776977539, 0.01, 0, 162, 165.0, 0.02, 0, 0.02, 0.02, 1458: 4: 1716505792.8, 1716505793.8: 0: 0: 0: 0: 0: 0: 0.47536688641866676: 0.1748777045271102: 0.1748777045271102: 0.17487770452711277
127.0.0.1/9020-127.0.0.2/9784: 1, 265.0, 7155, 0.15505695343017578, 66, 0.04, 384081, 0.0, 6.127357482910156e-05, 486, 1188, 18, 0.15505695343017578, 1449.3622641509435, 0.03887319564819336, 6.127357482910156e-05, 66, 0, 18.0, 6, 13.976810455322266, 209, 0.15076398849487305, 15.433310508728027, 0, 0, 0, 76.34, 66.0, 0.04, 283, 1.3816041946411133, 0.08, 0, 265, 283.0, 0.03, 0, 0.05, 0.05, 1458: 5: 1716505792.8, 1716505793.8: 0: 0: 0: 0: 0: 0: 0.475366736636206: 0.17487772934801638: 0.17487772819724468: 0.174877805818533
127.0.0.1/9020-127.0.0.2/9784: 2, 329.0, 8883, 0.18022465705871582, 66, 0.06, 475892, 0.0, 4.7206878662109375e-05, 513, 1254, 19, 0.18022465705871582, 1446.4802431610942, 0.040346384048461914, 4.7206878662109375e-05, 66, 0, 19.0, 6, 25.362409830093384, 209, 0.13686347007751465, 27.17198920249939, 0, 0, 0, 96.78, 66.0, 0.06, 348, 0.993096113204956, 0.05, 0, 329, 348.0, 0.03, 0, 0.08, 0.08, 1458: 6: 1716505792.9, 1716505793.9: 0: 0: 0: 0: 0: 0: 0.47536685615281876: 0.17487771019452525: 0.17487770931012223: 0.17487772434253387
127.0.0.1/9020-127.0.0.2/9784: 15, 370.0, 9990, 0.2157750129699707, 66, 0.07, 522288, 0.0, 0.00012803077697753906, 837, 2046, 31, 0.215484619140625, 1411.5891891891893, 1.621246337890625e-05, 0.00012803077697753906, 66, 0, 31.0, 6, 34.3625009059906, 96, 0.13250303268432617, 38.92316746711731, 0, 0, 0, 230.76, 66.0, 0.07, 401, 1.9792351722717285, 0.06, 0, 370, 401.0, 0.06, 0, 0.09, 0.1, 1458: 7: 1716505792.9, 1716505793.9: 0: 0: 0: 0: 0: 0: 0.4753668820844305: 0.1748777054309974: 0.17487770522266494: 0.174877707261907
127.0.0.3/80-127.0.0.4/3167: 8, 51.0, 1377, 0.00145721435546875, -1, 0.0, 72294, -1, 6.604194641113281e-05, 0, 0, 0, 0.00145721435546875, 1417.5294117647059, 99999, 6.604194641113281e-05, -1, 0, 0.0, 6, 0.04156136512756348, 66, -1, 0.04156136512756348, 0, 0, 0, 251.98, 0, 0.0, 51, 0, -1, 0, 51, 51.0, -1, 0, 0.0, 0.0, 1514: 8: 1716505792.9, 1716505793.9: 0: 0: 0: 0: 0: 0: 0.47536479232472395: 0.17487803545533465: 0.17487803545533465: 0.17487913676460665
127.0.0.8/5752-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 9: 1716505792.9, 1716505793.9: 0: 1: 0: 0: 1: 0: 0.16325203598930757: 0.23518412590891943: 0.4389877171561132: 0.1625761209456597
127.0.0.8/5753-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 10: 1716505792.9, 1716505793.9: 0: 1: 0: 0: 1: 0: 0.16325203598930757: 0.23518412590891943: 0.4389877171561132: 0.1625761209456597
